No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
----------------------------------------------------------------------------------------------------
     10002    85.3851    54.5091    -328.334       -328.334      552937167.25      746.84916      741.26732      998.77585
     10004    85.3874    54.5082    -325.295       -325.295      552975759.79      746.86653      741.28457      998.79909
     10006    85.3897    54.5073    -327.279       -327.279      553018826.79      746.88592      741.30381      998.82501
     10008    85.3920    54.5164    -327.941       -327.941      553129906.61      746.93591      741.35343      998.89187
     10010    85.3942    54.5155    -328.010       -328.010      553261732.49      746.99523      741.41230      998.97120
     10012    85.3965    54.5146    -329.584       -329.584      553398634.25      747.05682      741.47343      999.05356
     10014    85.3988    54.5137    -328.794       -328.794      553533975.11      747.11769      741.53385      999.13497
     10016    85.4012    54.5228    -327.912       -327.912      553674654.27      747.18095      741.59664      999.21956
     10018    85.4034    54.5219    -326.921       -326.921      553799947.92      747.23728      741.65255      999.29490
     10020    85.4058    54.5210    -326.452       -326.452      553965098.84      747.31150      741.72621      999.39415
     10022    85.4081    54.5300    -326.468       -326.468      554111856.93      747.37744      741.79166      999.48234
     10024    85.4104    54.5291    -326.674       -326.674      554242676.38      747.43622      741.85000      999.56095
     10026    85.4128    54.5183    -327.394       -327.394      554353369.77      747.48596      741.89937      999.62746
     10028    85.4150    54.5074    -327.242       -327.242      554448249.81      747.52859      741.94168      999.68447
     10030    85.4173    54.5165    -326.996       -326.996      554578291.97      747.58698      741.99964      999.76256
     10032    85.4196    54.5156    -327.090       -327.090      554690153.79      747.63721      742.04949      999.82974
     10034    85.4219    54.5147    -326.966       -326.966      554808978.63      747.69056      742.10244      999.90107
     10036    85.4242    54.5237    -327.304       -327.304      554933042.16      747.74624      742.15770      999.97553
     10038    85.4265    54.5228    -327.384       -327.384      555076500.09      747.81059      742.22157      1000.06159
     10040    85.4288    54.5319    -327.342       -327.342      555233952.47      747.88119      742.29164      1000.15601
