No. moves  % accept.   % acc. vol.    E_tot          E_sr          Vol       Lx        Ly        Lz
----------------------------------------------------------------------------------------------------
      2    40.6901        50.0000         -8020.959      -8020.959     86745.79  40.28009  39.97904  53.86734
      4    41.2760        75.0000         -8049.412      -8049.412     90092.61  40.79159  40.48673  54.55139
      6    42.5383        50.0000         -7962.573      -7962.573     90092.61  40.79159  40.48673  54.55139
      8    43.2482        37.5000         -7870.612      -7870.612     90092.61  40.79159  40.48673  54.55139
     10    43.7326        40.0000         -7788.558      -7788.558     91292.68  40.97192  40.66570  54.79254
     12    44.1298        33.3333         -7734.543      -7734.543     91292.68  40.97192  40.66570  54.79254
     14    44.6134        35.7143         -7700.072      -7700.072     91976.22  41.07392  40.76694  54.92895
     16    45.0331        37.5000         -7637.536      -7637.536     93377.86  41.28151  40.97298  55.20657
     18    45.3016        38.8889         -7607.486      -7607.486     94293.60  41.41602  41.10648  55.38645
     20    45.7194        40.0000         -7546.006      -7546.006     94894.72  41.50384  41.19365  55.50389
     22    45.9655        36.3636         -7505.443      -7505.443     94894.72  41.50384  41.19365  55.50389
     24    46.2393        33.3333         -7466.569      -7466.569     94894.72  41.50384  41.19365  55.50389
     26    46.4794        30.7692         -7459.695      -7459.695     94894.72  41.50384  41.19365  55.50389
     28    46.6774        35.7143         -7377.138      -7377.138     97000.65  41.80862  41.49615  55.91148
     30    46.9285        36.6667         -7330.653      -7330.653     98549.66  42.03000  41.71587  56.20753
     32    47.1598        37.5000         -7263.102      -7263.102     100620.11  42.32230  42.00599  56.59843
     34    47.4386        35.2941         -7238.652      -7238.652     100620.11  42.32230  42.00599  56.59843
     36    47.6924        36.1111         -7186.777      -7186.777     102773.36  42.62206  42.30351  56.99931
     38    47.9012        34.2105         -7183.160      -7183.160     102773.36  42.62206  42.30351  56.99931
     40    48.1190        35.0000         -7159.901      -7159.901     103392.44  42.70748  42.38829  57.11353
     42    48.3626        35.7143         -7113.404      -7113.404     103720.62  42.75261  42.43309  57.17390
     44    48.5139        34.0909         -7111.645      -7111.645     103720.62  42.75261  42.43309  57.17390
     46    48.6757        32.6087         -7095.856      -7095.856     103720.62  42.75261  42.43309  57.17390
     48    48.8164        33.3333         -7048.204      -7048.204     105376.55  42.97893  42.65771  57.47656
     50    48.9800        34.0000         -6995.025      -6995.025     107453.64  43.25949  42.93617  57.85175
     52    49.1090        32.6923         -6989.807      -6989.807     107453.64  43.25949  42.93617  57.85175
     54    49.2196        35.1852         -6930.727      -6930.727     110695.14  43.69018  43.36365  58.42772
     56    49.3908        35.7143         -6889.050      -6889.050     111418.08  43.78508  43.45784  58.55464
     58    49.5656        34.4828         -6880.868      -6880.868     111418.08  43.78508  43.45784  58.55464
     60    49.6918        33.3333         -6862.901      -6862.901     111418.08  43.78508  43.45784  58.55464
     62    49.8075        33.8710         -6858.108      -6858.108     112831.30  43.96943  43.64081  58.80117
     64    49.9274        34.3750         -6787.974      -6787.974     114216.73  44.14866  43.81870  59.04086
     66    50.0575        34.8485         -6760.656      -6760.656     114654.66  44.20501  43.87463  59.11622
     68    50.1707        33.8235         -6768.708      -6768.708     114654.66  44.20501  43.87463  59.11622
     70    50.2592        32.8571         -6766.478      -6766.478     114654.66  44.20501  43.87463  59.11622
     72    50.3385        33.3333         -6739.945      -6739.945     116349.48  44.42176  44.08976  59.40608
     74    50.4126        33.7838         -6719.743      -6719.743     117371.45  44.55144  44.21847  59.57951
     76    50.4806        32.8947         -6693.201      -6693.201     117371.45  44.55144  44.21847  59.57951
     78    50.5695        32.0513         -6673.256      -6673.256     117371.45  44.55144  44.21847  59.57951
     80    50.6386        31.2500         -6667.492      -6667.492     117371.45  44.55144  44.21847  59.57951
     82    50.7082        30.4878         -6673.581      -6673.581     117371.45  44.55144  44.21847  59.57951
     84    50.7993        30.9524         -6643.455      -6643.455     119329.26  44.79779  44.46298  59.90896
     86    50.8890        30.2326         -6619.029      -6619.029     119329.26  44.79779  44.46298  59.90896
     88    50.9524        30.6818         -6577.134      -6577.134     121157.75  45.02545  44.68893  60.21340
     90    51.0537        30.0000         -6592.431      -6592.431     121157.75  45.02545  44.68893  60.21340
     92    51.1238        30.4348         -6575.705      -6575.705     121398.50  45.05525  44.71851  60.25326
     94    51.2026        29.7872         -6560.772      -6560.772     121398.50  45.05525  44.71851  60.25326
     96    51.2863        30.2083         -6536.994      -6536.994     123685.16  45.33638  44.99754  60.62922
     98    51.3749        31.6327         -6483.453      -6483.453     126609.17  45.69086  45.34938  61.10328
     100    51.4536        32.0000         -6435.680      -6435.680     128768.26  45.94912  45.60571  61.44865
     102    51.5280        32.3529         -6444.678      -6444.678     129244.88  46.00575  45.66191  61.52438
     104    51.6047        32.6923         -6431.440      -6431.440     130428.75  46.14579  45.80090  61.71166
     106    51.6898        33.0189         -6408.224      -6408.224     130733.42  46.18169  45.83654  61.75967
     108    51.7656        33.3333         -6371.438      -6371.438     132629.25  46.40386  46.05704  62.05678
     110    51.8521        33.6364         -6369.564      -6369.564     134044.17  46.56829  46.22024  62.27667
     112    51.9487        33.9286         -6351.026      -6351.026     134100.72  46.57484  46.22674  62.28543
     114    52.0158        34.2105         -6319.230      -6319.230     136226.01  46.81959  46.46967  62.61275
     116    52.0824        34.4828         -6308.454      -6308.454     137405.42  46.95432  46.60339  62.79293
     118    52.1516        33.8983         -6319.409      -6319.409     137405.42  46.95432  46.60339  62.79293
     120    52.2213        33.3333         -6299.705      -6299.705     137405.42  46.95432  46.60339  62.79293
     122    52.2852        33.6066         -6291.090      -6291.090     138316.56  47.05788  46.70618  62.93142
     124    52.3452        33.8710         -6270.815      -6270.815     140131.37  47.26280  46.90956  63.20545
     126    52.4040        34.1270         -6267.667      -6267.667     141011.80  47.36157  47.00760  63.33755
     128    52.4587        33.5938         -6260.029      -6260.029     141011.80  47.36157  47.00760  63.33755
     130    52.5152        33.0769         -6265.585      -6265.585     141011.80  47.36157  47.00760  63.33755
     132    52.5685        33.3333         -6249.864      -6249.864     142550.71  47.53324  47.17799  63.56712
     134    52.6176        34.3284         -6277.895      -6277.895     143360.62  47.62309  47.26716  63.68728
     136    52.6589        34.5588         -6233.436      -6233.436     146020.58  47.91583  47.55771  64.07877
     138    52.7053        35.5072         -6155.703      -6155.703     148494.56  48.18492  47.82479  64.43863
     140    52.7612        35.7143         -6106.356      -6106.356     149754.78  48.32085  47.95970  64.62040
     142    52.8157        35.9155         -6104.121      -6104.121     149967.24  48.34369  47.98237  64.65095
     144    52.8759        36.1111         -6080.024      -6080.024     152619.56  48.62703  48.26359  65.02986
     146    52.9312        36.9863         -6087.008      -6087.008     153616.08  48.73263  48.36841  65.17109
     148    52.9911        37.1622         -6059.844      -6059.844     156026.20  48.98617  48.62005  65.51015
     150    53.0472        36.6667         -6056.404      -6056.404     156026.20  48.98617  48.62005  65.51015
     152    53.0930        36.1842         -6043.464      -6043.464     156026.20  48.98617  48.62005  65.51015
     154    53.1349        35.7143         -6049.978      -6049.978     156026.20  48.98617  48.62005  65.51015
     156    53.1901        35.2564         -6054.889      -6054.889     156026.20  48.98617  48.62005  65.51015
     158    53.2433        35.4430         -6063.374      -6063.374     156287.32  49.01348  48.64716  65.54668
     160    53.2874        35.6250         -6040.633      -6040.633     156795.33  49.06653  48.69981  65.61762
     162    53.3270        35.8025         -6065.459      -6065.459     157448.11  49.13453  48.76730  65.70856
     164    53.3605        35.9756         -6036.958      -6036.958     158604.30  49.25450  48.88638  65.86900
     166    53.4144        36.7470         -5983.741      -5983.741     162001.57  49.60370  49.23297  66.33598
     168    53.4642        36.9048         -5952.158      -5952.158     164107.97  49.81776  49.44543  66.62226
     170    53.5022        37.0588         -5954.413      -5954.413     164298.16  49.83700  49.46452  66.64798
     172    53.5383        37.2093         -5948.575      -5948.575     165771.90  49.98556  49.61198  66.84666
     174    53.5877        37.3563         -5976.743      -5976.743     166024.02  50.01089  49.63712  66.88054
     176    53.6271        37.5000         -5966.221      -5966.221     167068.88  50.11559  49.74103  67.02055
     178    53.6744        37.6404         -5947.302      -5947.302     169681.93  50.37551  49.99902  67.36815
     180    53.7172        37.7778         -5909.789      -5909.789     170183.07  50.42506  50.04819  67.43441
     182    53.7671        37.9121         -5915.804      -5915.804     171248.67  50.53009  50.15243  67.57486
     184    53.7986        38.0435         -5904.078      -5904.078     171184.31  50.52375  50.14615  67.56640
     186    53.8385        38.1720         -5904.897      -5904.897     173798.44  50.77964  50.40012  67.90859
     188    53.8902        38.2979         -5877.952      -5877.952     175276.37  50.92317  50.54258  68.10054
     190    53.9303        37.8947         -5887.231      -5887.231     175276.37  50.92317  50.54258  68.10054
     192    53.9726        37.5000         -5887.310      -5887.310     175276.37  50.92317  50.54258  68.10054
     194    54.0224        38.1443         -5843.451      -5843.451     177350.39  51.12324  50.74115  68.36810
     196    54.0535        38.2653         -5835.006      -5835.006     179980.22  51.37469  50.99072  68.70437
     198    54.0943        38.8889         -5851.619      -5851.619     179347.71  51.31444  50.93092  68.62379
     200    54.1335        39.5000         -5821.598      -5821.598     181999.36  51.56610  51.18070  68.96034
     202    54.1684        39.1089         -5849.242      -5849.242     181999.36  51.56610  51.18070  68.96034
     204    54.2045        39.2157         -5805.764      -5805.764     184442.21  51.79578  51.40867  69.26750
     206    54.2312        38.8350         -5798.757      -5798.757     184442.21  51.79578  51.40867  69.26750
     208    54.2707        39.4231         -5773.242      -5773.242     188691.73  52.19056  51.80049  69.79544
     210    54.3213        40.0000         -5776.018      -5776.018     189455.73  52.26090  51.87031  69.88951
     212    54.3641        39.6226         -5772.948      -5772.948     189455.73  52.26090  51.87031  69.88951
     214    54.4065        39.7196         -5772.375      -5772.375     189906.46  52.30231  51.91141  69.94489
     216    54.4391        39.8148         -5732.435      -5732.435     192853.65  52.57149  52.17857  70.30487
     218    54.4751        39.9083         -5721.746      -5721.746     194238.40  52.69701  52.30316  70.47274
     220    54.5149        40.4545         -5673.495      -5673.495     196023.75  52.85798  52.46292  70.68800
     222    54.5522        40.0901         -5674.226      -5674.226     196023.75  52.85798  52.46292  70.68800
     224    54.5936        40.6250         -5640.059      -5640.059     199847.16  53.19943  52.80182  71.14463
     226    54.6312        40.2655         -5624.988      -5624.988     199847.16  53.19943  52.80182  71.14463
     228    54.6669        39.9123         -5652.994      -5652.994     199847.16  53.19943  52.80182  71.14463
     230    54.6971        40.0000         -5616.183      -5616.183     200856.13  53.28881  52.89053  71.26415
     232    54.7366        40.0862         -5623.805      -5623.805     203620.94  53.53220  53.13211  71.58965
     234    54.7752        40.5983         -5594.166      -5594.166     208106.32  53.92242  53.51941  72.11150
     236    54.8136        40.2542         -5591.266      -5591.266     208106.32  53.92242  53.51941  72.11150
     238    54.8481        40.3361         -5599.007      -5599.007     208224.51  53.93263  53.52954  72.12515
     240    54.8793        40.4167         -5582.832      -5582.832     210031.13  54.08816  53.68391  72.33314
     242    54.9140        40.4959         -5590.038      -5590.038     210791.65  54.15336  53.74863  72.42034
     244    54.9469        40.5738         -5570.211      -5570.211     212693.35  54.31573  53.90978  72.63748
     246    54.9800        40.6504         -5547.547      -5547.547     214176.56  54.44169  54.03480  72.80593
     248    55.0089        40.7258         -5536.065      -5536.065     215936.50  54.59041  54.18241  73.00481
     250    55.0497        41.2000         -5503.419      -5503.419     221864.48  55.08545  54.67375  73.66684
     252    55.0796        41.6667         -5478.860      -5478.860     223584.71  55.22745  54.81469  73.85674
     254    55.1242        42.1260         -5452.372      -5452.372     227858.60  55.57713  55.16175  74.32437
     256    55.1581        42.1875         -5448.866      -5448.866     227919.70  55.58210  55.16668  74.33102
     258    55.1968        42.6357         -5401.086      -5401.086     231548.83  55.87555  55.45795  74.72346
     260    55.2392        42.6923         -5427.496      -5427.496     231491.67  55.87095  55.45338  74.71731
     262    55.2704        42.7481         -5408.150      -5408.150     232799.17  55.97595  55.55759  74.85772
     264    55.3035        42.8030         -5406.472      -5406.472     236085.38  56.23810  55.81779  75.20830
     266    55.3332        42.4812         -5404.717      -5404.717     236085.38  56.23810  55.81779  75.20830
     268    55.3693        42.5373         -5428.030      -5428.030     236154.00  56.24355  55.82320  75.21559
     270    55.4038        42.5926         -5452.287      -5452.287     235895.15  56.22299  55.80279  75.18810
     272    55.4344        42.6471         -5478.211      -5478.211     236870.70  56.30039  55.87961  75.29161
     274    55.4726        43.0657         -5457.947      -5457.947     242426.97  56.73721  56.31316  75.87576
     276    55.5074        43.1159         -5400.642      -5400.642     243235.01  56.80017  56.37566  75.95997
     278    55.5445        43.1655         -5361.209      -5361.209     246660.19  57.06555  56.63905  76.31486
     280    55.5818        43.5714         -5351.448      -5351.448     250295.63  57.34454  56.91595  76.68796
     282    55.6080        43.6170         -5346.664      -5346.664     251266.35  57.41858  56.98944  76.78697
     284    55.6405        44.0141         -5351.835      -5351.835     251432.49  57.43123  57.00200  76.80389
     286    55.6736        43.7063         -5326.397      -5326.397     251432.49  57.43123  57.00200  76.80389
     288    55.6996        43.7500         -5321.064      -5321.064     253380.65  57.57918  57.14884  77.00175
     290    55.7375        44.1379         -5310.518      -5310.518     256890.67  57.84383  57.41152  77.35568
     292    55.7666        44.5205         -5286.673      -5286.673     258152.33  57.93838  57.50535  77.48211
     294    55.7988        44.8980         -5264.787      -5264.787     262287.42  58.24609  57.81077  77.89363
     296    55.8336        45.2703         -5215.512      -5215.512     266231.27  58.53658  58.09908  78.28210
     298    55.8669        45.3020         -5211.039      -5211.039     267780.28  58.64988  58.21154  78.43363
     300    55.9003        45.6667         -5197.937      -5197.937     270166.98  58.82362  58.38398  78.66596
     302    55.9367        46.0265         -5178.114      -5178.114     272838.34  59.01686  58.57578  78.92439
     304    55.9662        46.0526         -5184.011      -5184.011     273239.68  59.04578  58.60448  78.96307
     306    55.9989        46.4052         -5173.373      -5173.373     273368.31  59.05505  58.61368  78.97546
     308    56.0240        46.4286         -5165.790      -5165.790     276031.38  59.24619  58.80340  79.23108
     310    56.0602        46.4516         -5138.499      -5138.499     279936.65  59.52429  59.07941  79.60299
     312    56.0907        46.7949         -5117.138      -5117.138     284264.75  59.82949  59.38233  80.01114
     314    56.1236        46.8153         -5140.101      -5140.101     285829.00  59.93903  59.49106  80.15763
     316    56.1496        46.8354         -5150.969      -5150.969     288070.77  60.09533  59.64618  80.36664
     318    56.1808        47.1698         -5148.703      -5148.703     289729.82  60.21047  59.76047  80.52063
     320    56.2108        47.1875         -5135.099      -5135.099     293389.48  60.46292  60.01103  80.85824
     322    56.2394        47.2050         -5142.835      -5142.835     293812.96  60.49200  60.03989  80.89713
     324    56.2688        47.5309         -5113.919      -5113.919     299292.51  60.86574  60.41084  81.39694
     326    56.2954        47.8528         -5097.758      -5097.758     301366.42  61.00601  60.55006  81.58451
     328    56.3261        47.5610         -5090.207      -5090.207     301366.42  61.00601  60.55006  81.58451
     330    56.3527        47.5758         -5123.349      -5123.349     303343.39  61.13911  60.68217  81.76252
     332    56.3826        47.2892         -5121.266      -5121.266     303343.39  61.13911  60.68217  81.76252
     334    56.4104        47.6048         -5109.994      -5109.994     308056.40  61.45413  60.99483  82.18379
     336    56.4405        47.6190         -5097.922      -5097.922     312527.70  61.75003  61.28852  82.57951
     338    56.4693        47.3373         -5085.123      -5085.123     312527.70  61.75003  61.28852  82.57951
     340    56.5048        47.0588         -5095.466      -5095.466     312527.70  61.75003  61.28852  82.57951
     342    56.5345        47.0760         -5083.384      -5083.384     312277.54  61.73355  61.27216  82.55747
     344    56.5646        47.0930         -5100.368      -5100.368     313757.77  61.83093  61.36882  82.68770
     346    56.5952        46.8208         -5106.184      -5106.184     313757.77  61.83093  61.36882  82.68770
     348    56.6205        46.5517         -5083.254      -5083.254     313757.77  61.83093  61.36882  82.68770
     350    56.6427        46.2857         -5098.961      -5098.961     313757.77  61.83093  61.36882  82.68770
     352    56.6686        46.0227         -5101.594      -5101.594     313757.77  61.83093  61.36882  82.68770
