No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
----------------------------------------------------------------------------------------------------
     10002    85.1028    55.1690    -353.321       -353.321      440670740.70      760.97678      760.97678      760.97678
     10004    85.1051    55.1779    -352.384       -352.384      440854761.20      761.08268      761.08268      761.08268
     10006    85.1074    55.1769    -350.160       -350.160      441038150.35      761.18817      761.18817      761.18817
     10008    85.1098    55.1759    -348.818       -348.818      441202107.83      761.28246      761.28246      761.28246
     10010    85.1121    55.1848    -349.258       -349.258      441272975.70      761.32322      761.32322      761.32322
     10012    85.1144    55.1838    -350.458       -350.458      441308648.13      761.34374      761.34374      761.34374
     10014    85.1167    55.1927    -351.891       -351.891      441405472.45      761.39940      761.39940      761.39940
     10016    85.1189    55.1817    -353.409       -353.409      441478090.69      761.44115      761.44115      761.44115
     10018    85.1212    55.1807    -353.592       -353.592      441584140.41      761.50208      761.50208      761.50208
     10020    85.1235    55.1796    -354.206       -354.206      441689644.16      761.56269      761.56269      761.56269
     10022    85.1258    55.1786    -355.145       -355.145      441811843.52      761.63286      761.63286      761.63286
     10024    85.1280    55.1875    -355.557       -355.557      441926604.94      761.69876      761.69876      761.69876
     10026    85.1303    55.1965    -355.835       -355.835      442090157.43      761.79259      761.79259      761.79259
     10028    85.1326    55.2054    -356.471       -356.471      442269959.42      761.89570      761.89570      761.89570
     10030    85.1349    55.2044    -356.730       -356.730      442427257.88      761.98590      761.98590      761.98590
     10032    85.1371    55.2133    -356.958       -356.958      442606707.08      762.08873      762.08873      762.08873
     10034    85.1394    55.2023    -356.914       -356.914      442765044.61      762.17947      762.17947      762.17947
     10036    85.1417    55.2112    -356.949       -356.949      442904892.98      762.25962      762.25962      762.25962
     10038    85.1440    55.2002    -356.801       -356.801      443030020.47      762.33133      762.33133      762.33133
     10040    85.1463    55.1992    -356.936       -356.936      443161518.77      762.40666      762.40666      762.40666
     10042    85.1486    55.2081    -356.860       -356.860      443299950.96      762.48593      762.48593      762.48593
