No. moves  % accept.       <E_tot>         <E_sr>
--------------------------------------------------------------
     10002    49.6885        -7042.099       -7042.099
     10004    49.6885        -7029.020       -7029.020
     10006    49.6885        -7025.720       -7025.720
     10008    49.6885        -7034.107       -7034.107
     10010    49.6885        -7044.241       -7044.241
     10012    49.6883        -7045.132       -7045.132
     10014    49.6884        -7047.463       -7047.463
     10016    49.6883        -7048.937       -7048.937
     10018    49.6883        -7047.290       -7047.290
     10020    49.6884        -7045.353       -7045.353
     10022    49.6884        -7042.882       -7042.882
     10024    49.6885        -7039.090       -7039.090
     10026    49.6888        -7038.061       -7038.061
     10028    49.6890        -7035.596       -7035.596
     10030    49.6891        -7035.116       -7035.116
     10032    49.6890        -7034.364       -7034.364
     10034    49.6892        -7033.016       -7033.016
     10036    49.6894        -7032.189       -7032.189
     10038    49.6894        -7031.178       -7031.178
     10040    49.6893        -7029.453       -7029.453
     10042    49.6892        -7028.990       -7028.990
     10044    49.6892        -7029.092       -7029.092
     10046    49.6893        -7029.555       -7029.555
     10048    49.6895        -7029.461       -7029.461
     10050    49.6893        -7028.865       -7028.865
     10052    49.6894        -7028.850       -7028.850
     10054    49.6893        -7027.981       -7027.981
     10056    49.6892        -7027.441       -7027.441
     10058    49.6893        -7026.159       -7026.159
     10060    49.6896        -7025.230       -7025.230
     10062    49.6895        -7024.678       -7024.678
     10064    49.6897        -7024.439       -7024.439
     10066    49.6896        -7024.303       -7024.303
     10068    49.6898        -7023.996       -7023.996
     10070    49.6897        -7023.259       -7023.259
     10072    49.6896        -7022.998       -7022.998
     10074    49.6898        -7023.244       -7023.244
     10076    49.6898        -7023.884       -7023.884
     10078    49.6900        -7023.511       -7023.511
     10080    49.6900        -7023.299       -7023.299
     10082    49.6900        -7023.330       -7023.330
     10084    49.6900        -7023.420       -7023.420
     10086    49.6900        -7023.209       -7023.209
     10088    49.6899        -7022.452       -7022.452
     10090    49.6899        -7022.226       -7022.226
     10092    49.6897        -7021.587       -7021.587
     10094    49.6896        -7021.331       -7021.331
     10096    49.6897        -7021.208       -7021.208
     10098    49.6897        -7021.314       -7021.314
     10100    49.6896        -7021.259       -7021.259
     10102    49.6896        -7021.598       -7021.598
     10104    49.6894        -7021.663       -7021.663
     10106    49.6894        -7021.372       -7021.372
     10108    49.6893        -7021.630       -7021.630
     10110    49.6893        -7021.683       -7021.683
     10112    49.6893        -7021.537       -7021.537
     10114    49.6893        -7021.088       -7021.088
     10116    49.6894        -7020.630       -7020.630
     10118    49.6895        -7020.244       -7020.244
     10120    49.6896        -7019.191       -7019.191
     10122    49.6896        -7018.499       -7018.499
     10124    49.6896        -7018.271       -7018.271
     10126    49.6896        -7018.245       -7018.245
     10128    49.6896        -7018.125       -7018.125
     10130    49.6898        -7017.650       -7017.650
     10132    49.6899        -7017.283       -7017.283
     10134    49.6899        -7016.880       -7016.880
     10136    49.6898        -7016.839       -7016.839
     10138    49.6899        -7016.432       -7016.432
     10140    49.6899        -7015.967       -7015.967
     10142    49.6900        -7015.393       -7015.393
     10144    49.6900        -7014.745       -7014.745
     10146    49.6899        -7013.782       -7013.782
     10148    49.6899        -7012.672       -7012.672
     10150    49.6902        -7012.154       -7012.154
     10152    49.6903        -7011.059       -7011.059
     10154    49.6903        -7010.430       -7010.430
     10156    49.6901        -7009.689       -7009.689
     10158    49.6900        -7008.943       -7008.943
     10160    49.6899        -7008.355       -7008.355
     10162    49.6900        -7007.844       -7007.844
     10164    49.6902        -7007.889       -7007.889
     10166    49.6901        -7007.764       -7007.764
     10168    49.6903        -7007.662       -7007.662
     10170    49.6904        -7007.440       -7007.440
     10172    49.6902        -7006.785       -7006.785
     10174    49.6905        -7005.868       -7005.868
     10176    49.6905        -7005.270       -7005.270
     10178    49.6905        -7004.763       -7004.763
     10180    49.6906        -7004.350       -7004.350
     10182    49.6906        -7004.134       -7004.134
     10184    49.6906        -7004.228       -7004.228
     10186    49.6906        -7004.271       -7004.271
     10188    49.6904        -7004.490       -7004.490
     10190    49.6904        -7004.536       -7004.536
     10192    49.6903        -7004.684       -7004.684
     10194    49.6901        -7004.817       -7004.817
     10196    49.6901        -7004.767       -7004.767
     10198    49.6899        -7004.511       -7004.511
     10200    49.6901        -7004.517       -7004.517
     10202    49.6900        -7004.702       -7004.702
     10204    49.6900        -7004.661       -7004.661
     10206    49.6901        -7004.688       -7004.688
     10208    49.6899        -7004.828       -7004.828
     10210    49.6899        -7004.681       -7004.681
     10212    49.6901        -7004.514       -7004.514
     10214    49.6901        -7004.251       -7004.251
     10216    49.6901        -7003.941       -7003.941
     10218    49.6900        -7003.503       -7003.503
     10220    49.6901        -7003.295       -7003.295
     10222    49.6902        -7003.091       -7003.091
     10224    49.6902        -7002.874       -7002.874
     10226    49.6902        -7002.714       -7002.714
     10228    49.6902        -7002.593       -7002.593
     10230    49.6903        -7002.810       -7002.810
     10232    49.6903        -7002.956       -7002.956
     10234    49.6905        -7003.042       -7003.042
     10236    49.6905        -7003.068       -7003.068
     10238    49.6905        -7003.133       -7003.133
     10240    49.6906        -7003.166       -7003.166
     10242    49.6904        -7003.208       -7003.208
     10244    49.6906        -7003.299       -7003.299
     10246    49.6906        -7003.327       -7003.327
     10248    49.6905        -7003.288       -7003.288
     10250    49.6904        -7003.309       -7003.309
     10252    49.6903        -7003.210       -7003.210
     10254    49.6903        -7003.314       -7003.314
     10256    49.6903        -7003.550       -7003.550
     10258    49.6904        -7003.708       -7003.708
     10260    49.6904        -7003.815       -7003.815
     10262    49.6905        -7004.045       -7004.045
     10264    49.6904        -7004.170       -7004.170
     10266    49.6906        -7004.196       -7004.196
     10268    49.6906        -7004.300       -7004.300
     10270    49.6908        -7004.485       -7004.485
     10272    49.6906        -7004.595       -7004.595
     10274    49.6906        -7004.707       -7004.707
     10276    49.6908        -7004.677       -7004.677
     10278    49.6909        -7004.634       -7004.634
     10280    49.6910        -7004.421       -7004.421
     10282    49.6912        -7004.204       -7004.204
     10284    49.6914        -7004.091       -7004.091
     10286    49.6915        -7004.089       -7004.089
     10288    49.6915        -7004.140       -7004.140
     10290    49.6914        -7004.214       -7004.214
     10292    49.6913        -7004.283       -7004.283
     10294    49.6914        -7004.363       -7004.363
     10296    49.6913        -7004.489       -7004.489
     10298    49.6916        -7004.732       -7004.732
     10300    49.6915        -7004.983       -7004.983
