No. moves  % accept.        E_tot           E_sr
--------------------------------------------------------------
      2    24.6528        -8597.916       -8597.916
      4    25.9549        -8519.595       -8519.595
      6    26.9387        -8496.133       -8496.133
      8    27.9894        -8461.354       -8461.354
     10    28.6111        -8385.462       -8385.462
     12    29.1992        -8351.038       -8351.038
     14    29.8875        -8319.959       -8319.959
     16    30.4064        -8291.891       -8291.891
     18    30.9341        -8266.644       -8266.644
     20    31.4171        -8250.534       -8250.534
     22    31.9001        -8235.899       -8235.899
     24    32.3043        -8175.621       -8175.621
     26    32.7365        -8147.114       -8147.114
     28    33.1008        -8111.725       -8111.725
     30    33.4165        -8073.255       -8073.255
     32    33.6948        -8035.949       -8035.949
     34    34.0495        -8000.072       -8000.072
     36    34.3654        -7987.959       -7987.959
     38    34.6760        -7964.502       -7964.502
     40    34.9533        -7902.452       -7902.452
     42    35.1919        -7891.540       -7891.540
     44    35.4532        -7874.377       -7874.377
     46    35.7054        -7838.412       -7838.412
     48    35.9488        -7834.842       -7834.842
     50    36.1532        -7812.562       -7812.562
     52    36.3966        -7794.345       -7794.345
     54    36.6356        -7776.897       -7776.897
     56    36.8315        -7724.845       -7724.845
     58    37.0678        -7688.372       -7688.372
     60    37.2407        -7645.274       -7645.274
     62    37.4496        -7675.470       -7675.470
     64    37.5834        -7651.224       -7651.224
     66    37.7686        -7665.306       -7665.306
     68    37.9350        -7654.822       -7654.822
     70    38.1045        -7634.123       -7634.123
     72    38.2487        -7619.312       -7619.312
     74    38.4074        -7578.608       -7578.608
     76    38.5665        -7610.235       -7610.235
     78    38.7011        -7599.197       -7599.197
     80    38.8325        -7585.524       -7585.524
     82    38.9513        -7565.275       -7565.275
     84    39.0899        -7535.447       -7535.447
     86    39.2094        -7523.231       -7523.231
     88    39.3197        -7529.320       -7529.320
     90    39.4423        -7523.605       -7523.605
     92    39.5553        -7491.397       -7491.397
     94    39.6669        -7472.902       -7472.902
     96    39.8026        -7480.890       -7480.890
     98    39.9144        -7428.091       -7428.091
     100    40.0113        -7436.925       -7436.925
     102    40.1237        -7430.709       -7430.709
     104    40.2158        -7406.074       -7406.074
     106    40.3243        -7403.563       -7403.563
     108    40.4251        -7399.364       -7399.364
     110    40.5356        -7392.839       -7392.839
     112    40.6211        -7353.249       -7353.249
     114    40.7145        -7389.666       -7389.666
     116    40.8046        -7425.070       -7425.070
     118    40.8961        -7401.048       -7401.048
     120    40.9796        -7403.734       -7403.734
     122    41.0621        -7375.547       -7375.547
     124    41.1549        -7351.277       -7351.277
     126    41.2561        -7343.156       -7343.156
     128    41.3445        -7329.858       -7329.858
     130    41.4246        -7351.145       -7351.145
     132    41.5093        -7347.214       -7347.214
     134    41.5909        -7354.946       -7354.946
     136    41.6686        -7353.137       -7353.137
     138    41.7605        -7327.964       -7327.964
     140    41.8392        -7345.513       -7345.513
     142    41.9068        -7308.722       -7308.722
     144    41.9705        -7323.763       -7323.763
     146    42.0276        -7319.713       -7319.713
     148    42.0978        -7301.862       -7301.862
     150    42.1819        -7296.879       -7296.879
     152    42.2480        -7313.298       -7313.298
     154    42.3036        -7278.122       -7278.122
     156    42.3792        -7270.069       -7270.069
     158    42.4504        -7274.167       -7274.167
     160    42.5174        -7286.643       -7286.643
     162    42.5709        -7314.257       -7314.257
     164    42.6289        -7297.436       -7297.436
     166    42.6878        -7291.062       -7291.062
     168    42.7454        -7298.127       -7298.127
     170    42.8042        -7261.032       -7261.032
     172    42.8642        -7298.794       -7298.794
