No. moves  % accept.       <E_tot>         <E_sr>
--------------------------------------------------------------
     10002    49.7355        -7044.366       -7044.366
     10004    49.7356        -7037.971       -7037.971
     10006    49.7359        -7033.243       -7033.243
     10008    49.7361        -7029.202       -7029.202
     10010    49.7361        -7033.396       -7033.396
     10012    49.7361        -7034.503       -7034.503
     10014    49.7362        -7036.447       -7036.447
     10016    49.7360        -7039.272       -7039.272
     10018    49.7360        -7044.163       -7044.163
     10020    49.7358        -7047.145       -7047.145
     10022    49.7357        -7049.346       -7049.346
     10024    49.7358        -7051.576       -7051.576
     10026    49.7359        -7051.699       -7051.699
     10028    49.7359        -7051.747       -7051.747
     10030    49.7359        -7050.594       -7050.594
     10032    49.7359        -7049.599       -7049.599
     10034    49.7359        -7047.870       -7047.870
     10036    49.7360        -7045.726       -7045.726
     10038    49.7359        -7043.404       -7043.404
     10040    49.7357        -7040.961       -7040.961
     10042    49.7355        -7039.306       -7039.306
     10044    49.7353        -7038.085       -7038.085
     10046    49.7352        -7037.584       -7037.584
     10048    49.7350        -7036.543       -7036.543
     10050    49.7350        -7034.946       -7034.946
     10052    49.7352        -7033.815       -7033.815
     10054    49.7351        -7032.866       -7032.866
     10056    49.7350        -7032.416       -7032.416
     10058    49.7351        -7032.209       -7032.209
     10060    49.7352        -7031.499       -7031.499
     10062    49.7352        -7030.167       -7030.167
     10064    49.7352        -7029.663       -7029.663
     10066    49.7353        -7028.469       -7028.469
     10068    49.7353        -7027.430       -7027.430
     10070    49.7354        -7026.849       -7026.849
     10072    49.7354        -7026.402       -7026.402
     10074    49.7354        -7026.269       -7026.269
     10076    49.7353        -7025.418       -7025.418
     10078    49.7351        -7025.175       -7025.175
     10080    49.7351        -7024.704       -7024.704
     10082    49.7352        -7024.106       -7024.106
     10084    49.7351        -7023.873       -7023.873
     10086    49.7351        -7024.003       -7024.003
     10088    49.7351        -7023.505       -7023.505
     10090    49.7351        -7023.123       -7023.123
     10092    49.7351        -7023.130       -7023.130
     10094    49.7349        -7023.354       -7023.354
     10096    49.7348        -7023.514       -7023.514
     10098    49.7347        -7023.252       -7023.252
     10100    49.7347        -7023.069       -7023.069
     10102    49.7347        -7022.793       -7022.793
     10104    49.7347        -7023.296       -7023.296
     10106    49.7347        -7023.787       -7023.787
     10108    49.7348        -7024.314       -7024.314
     10110    49.7347        -7024.727       -7024.727
     10112    49.7344        -7025.744       -7025.744
     10114    49.7341        -7026.718       -7026.718
     10116    49.7339        -7027.700       -7027.700
     10118    49.7340        -7028.257       -7028.257
     10120    49.7339        -7028.662       -7028.662
     10122    49.7341        -7029.050       -7029.050
     10124    49.7340        -7029.494       -7029.494
     10126    49.7340        -7029.529       -7029.529
     10128    49.7340        -7029.710       -7029.710
     10130    49.7339        -7029.604       -7029.604
     10132    49.7340        -7029.130       -7029.130
     10134    49.7341        -7029.064       -7029.064
     10136    49.7340        -7028.711       -7028.711
     10138    49.7340        -7028.465       -7028.465
     10140    49.7341        -7028.373       -7028.373
     10142    49.7340        -7027.846       -7027.846
     10144    49.7340        -7027.289       -7027.289
     10146    49.7340        -7026.728       -7026.728
     10148    49.7340        -7026.245       -7026.245
     10150    49.7340        -7026.300       -7026.300
     10152    49.7341        -7026.190       -7026.190
     10154    49.7340        -7026.201       -7026.201
     10156    49.7339        -7026.237       -7026.237
     10158    49.7337        -7026.582       -7026.582
     10160    49.7338        -7026.774       -7026.774
     10162    49.7339        -7026.739       -7026.739
