No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
----------------------------------------------------------------------------------------------------
     10002    85.9329    55.2889    -306.788       -306.788      617528326.37      774.86598      769.07476      1036.24329
     10004    85.9351    55.2879    -308.593       -308.593      617664806.08      774.92306      769.13140      1036.31962
     10006    85.9374    55.2768    -310.758       -310.758      617710299.32      774.94208      769.15029      1036.34507
     10008    85.9396    55.2758    -310.150       -310.150      617813364.98      774.98517      769.19306      1036.40269
     10010    85.9418    55.2747    -309.226       -309.226      617871367.80      775.00942      769.21713      1036.43512
     10012    85.9441    55.2737    -308.570       -308.570      617898862.28      775.02092      769.22854      1036.45050
     10014    85.9463    55.2726    -307.923       -307.923      617900367.17      775.02155      769.22916      1036.45134
     10016    85.9485    55.2716    -307.492       -307.492      617975816.28      775.05309      769.26046      1036.49352
     10018    85.9508    55.2605    -306.735       -306.735      618034498.91      775.07761      769.28481      1036.52632
     10020    85.9531    55.2695    -305.399       -305.399      618086052.94      775.09916      769.30619      1036.55513
     10022    85.9553    55.2584    -304.230       -304.230      618128233.52      775.11679      769.32369      1036.57871
     10024    85.9576    55.2674    -303.625       -303.625      618258528.63      775.17121      769.37770      1036.65148
     10026    85.9598    55.2763    -303.629       -303.629      618392788.23      775.22727      769.43335      1036.72646
     10028    85.9619    55.2752    -303.600       -303.600      618508913.13      775.27577      769.48148      1036.79131
     10030    85.9642    55.2742    -303.153       -303.153      618598218.61      775.31306      769.51849      1036.84118
     10032    85.9664    55.2731    -303.151       -303.151      618705922.08      775.35803      769.56312      1036.90132
     10034    85.9686    55.2820    -302.669       -302.669      618830158.00      775.40987      769.61458      1036.97065
     10036    85.9708    55.2910    -302.739       -302.739      618969727.42      775.46810      769.67238      1037.04853
     10038    85.9729    55.2999    -302.589       -302.589      619141521.65      775.53974      769.74348      1037.14432
     10040    85.9751    55.2988    -302.673       -302.673      619326733.78      775.61694      769.82010      1037.24756
     10042    85.9773    55.2878    -303.175       -303.175      619494306.66      775.68678      769.88942      1037.34097
     10044    85.9795    55.2867    -303.376       -303.376      619663253.50      775.75718      769.95930      1037.43512
     10046    85.9817    55.2956    -303.637       -303.637      619835032.74      775.82875      770.03033      1037.53082
     10048    85.9839    55.3045    -303.720       -303.720      619991395.83      775.89389      770.09498      1037.61794
     10050    85.9861    55.2935    -303.931       -303.931      620135249.88      775.95382      770.15446      1037.69808
     10052    85.9884    55.2925    -304.043       -304.043      620283878.08      776.01572      770.21590      1037.78087
     10054    85.9905    55.2914    -304.225       -304.225      620423042.85      776.07368      770.27343      1037.85838
     10056    85.9927    55.2904    -304.213       -304.213      620558076.45      776.12991      770.32924      1037.93357
     10058    85.9949    55.2893    -304.528       -304.528      620681028.37      776.18112      770.38006      1038.00205
     10060    85.9971    55.2982    -304.692       -304.692      620811215.89      776.23531      770.43385      1038.07453
     10062    85.9992    55.2972    -304.986       -304.986      620945222.27      776.29108      770.48921      1038.14911
     10064    86.0014    55.3060    -304.980       -304.980      621081089.99      776.34762      770.54532      1038.22471
     10066    86.0036    55.3050    -305.032       -305.032      621215611.96      776.40358      770.60086      1038.29956
     10068    86.0058    55.3039    -305.040       -305.040      621350144.96      776.45954      770.65640      1038.37439
     10070    86.0080    55.3029    -305.220       -305.220      621475805.05      776.51180      770.70828      1038.44429
     10072    86.0101    55.3018    -305.512       -305.512      621614027.94      776.56927      770.76531      1038.52113
     10074    86.0123    55.3008    -305.660       -305.660      621758871.76      776.62946      770.82506      1038.60163
     10076    86.0145    55.2997    -305.752       -305.752      621903343.99      776.68949      770.88464      1038.68191
     10078    86.0167    55.3086    -305.787       -305.787      622058840.64      776.75407      770.94873      1038.76827
     10080    86.0189    55.3175    -305.957       -305.957      622201646.81      776.81338      771.00760      1038.84759
     10082    86.0211    55.3164    -306.117       -306.117      622345065.09      776.87294      771.06671      1038.92724
     10084    86.0233    55.3253    -305.963       -305.963      622508071.19      776.94058      771.13385      1039.01770
     10086    86.0255    55.3242    -305.991       -305.991      622668939.31      777.00732      771.20009      1039.10695
     10088    86.0277    55.3232    -306.189       -306.189      622836338.05      777.07674      771.26899      1039.19979
     10090    86.0299    55.3122    -306.367       -306.367      622996296.84      777.14308      771.33484      1039.28850
     10092    86.0321    55.3210    -306.347       -306.347      623159507.43      777.21074      771.40199      1039.37899
     10094    86.0343    55.3200    -306.179       -306.179      623314594.16      777.27504      771.46581      1039.46498
     10096    86.0365    55.3189    -306.155       -306.155      623470565.89      777.33969      771.52998      1039.55144
     10098    86.0387    55.3278    -306.208       -306.208      623646035.95      777.41236      771.60211      1039.64862
     10100    86.0409    55.3168    -306.279       -306.279      623814487.20      777.48213      771.67135      1039.74192
     10102    86.0432    55.3257    -306.462       -306.462      623999681.23      777.55876      771.74741      1039.84440
     10104    86.0453    55.3246    -306.421       -306.421      624185776.36      777.63575      771.82382      1039.94736
     10106    86.0476    55.3236    -306.456       -306.456      624370349.22      777.71209      771.89960      1040.04946
     10108    86.0497    55.3126    -306.654       -306.654      624548086.05      777.78561      771.97256      1040.14777
     10110    86.0519    55.3116    -306.731       -306.731      624724010.52      777.85837      772.04478      1040.24507
     10112    86.0540    55.3105    -306.773       -306.773      624897140.74      777.92996      772.11583      1040.34081
     10114    86.0561    55.3095    -306.790       -306.790      625064161.42      777.99902      772.18438      1040.43317
     10116    86.0582    55.3183    -306.778       -306.778      625231566.14      778.06822      772.25307      1040.52572
     10118    86.0604    55.3173    -306.776       -306.776      625403582.50      778.13931      772.32362      1040.62078
     10120    86.0626    55.3162    -306.702       -306.702      625579724.82      778.21206      772.39583      1040.71808
     10122    86.0647    55.3152    -306.617       -306.617      625756692.02      778.28514      772.46836      1040.81581
     10124    86.0669    55.3042    -306.472       -306.472      625927950.61      778.35586      772.53856      1040.91038
     10126    86.0691    55.3032    -306.349       -306.349      626104097.17      778.42857      772.61072      1041.00762
     10128    86.0713    55.3021    -306.314       -306.314      626273154.70      778.49836      772.67998      1041.10094
     10130    86.0735    55.3011    -306.295       -306.295      626440254.59      778.56732      772.74844      1041.19317
     10132    86.0757    55.3099    -306.238       -306.238      626605551.37      778.63554      772.81614      1041.28440
     10134    86.0778    55.3089    -306.204       -306.204      626772679.58      778.70449      772.88457      1041.37660
     10136    86.0800    55.3078    -306.106       -306.106      626934605.36      778.77129      772.95087      1041.46594
     10138    86.0822    55.2969    -306.104       -306.104      627091837.64      778.83615      773.01526      1041.55268
     10140    86.0843    55.2959    -306.123       -306.123      627250274.79      778.90150      773.08011      1041.64007
     10142    86.0865    55.2850    -306.162       -306.162      627404248.91      778.96500      773.14314      1041.72499
     10144    86.0886    55.2839    -306.263       -306.263      627553096.74      779.02639      773.20407      1041.80710
     10146    86.0908    55.2829    -306.322       -306.322      627701789.45      779.08771      773.26493      1041.88909
     10148    86.0930    55.2917    -306.321       -306.321      627857823.46      779.15201      773.32875      1041.97509
     10150    86.0952    55.2808    -306.293       -306.293      628009696.56      779.21460      773.39087      1042.05879
     10152    86.0974    55.2699    -306.295       -306.295      628157573.00      779.27554      773.45136      1042.14029
     10154    86.0996    55.2689    -306.269       -306.269      628306543.97      779.33692      773.51228      1042.22236
     10156    86.1017    55.2777    -306.246       -306.246      628450664.07      779.39630      773.57121      1042.30178
     10158    86.1038    55.2766    -306.230       -306.230      628595940.47      779.45614      773.63061      1042.38180
     10160    86.1061    55.2657    -306.210       -306.210      628737584.97      779.51448      773.68851      1042.45982
     10162    86.1083    55.2647    -306.131       -306.131      628882399.57      779.57411      773.74769      1042.53956
     10164    86.1105    55.2637    -306.079       -306.079      629026155.58      779.63329      773.80643      1042.61871
     10166    86.1126    55.2626    -306.027       -306.027      629173109.42      779.69376      773.86645      1042.69958
     10168    86.1147    55.2616    -305.975       -305.975      629318926.85      779.75376      773.92600      1042.77982
     10170    86.1169    55.2704    -305.861       -305.861      629469572.42      779.81571      773.98749      1042.86267
     10172    86.1191    55.2792    -305.755       -305.755      629619725.07      779.87745      774.04877      1042.94523
     10174    86.1212    55.2880    -305.636       -305.636      629775195.54      779.94134      774.11218      1043.03067
     10176    86.1234    55.2869    -305.472       -305.472      629931500.97      780.00556      774.17592      1043.11655
     10178    86.1256    55.2957    -305.274       -305.274      630093930.92      780.07225      774.24211      1043.20574
     10180    86.1278    55.3045    -305.000       -305.000      630267962.36      780.14364      774.31297      1043.30121
     10182    86.1299    55.3035    -304.810       -304.810      630443604.38      780.21567      774.38446      1043.39753
     10184    86.1321    55.3123    -304.598       -304.598      630619763.17      780.28789      774.45614      1043.49412
     10186    86.1343    55.3112    -304.382       -304.382      630797095.89      780.36057      774.52828      1043.59131
     10188    86.1365    55.3102    -304.198       -304.198      630978110.67      780.43472      774.60188      1043.69048
     10190    86.1386    55.2993    -304.049       -304.049      631155314.62      780.50731      774.67393      1043.78756
     10192    86.1408    55.2983    -303.835       -303.835      631334007.18      780.58049      774.74656      1043.88542
     10194    86.1430    55.3070    -303.624       -303.624      631511444.33      780.65315      774.81867      1043.98259
     10196    86.1452    55.2962    -303.450       -303.450      631685260.32      780.72432      774.88931      1044.07776
     10198    86.1473    55.2854    -303.349       -303.349      631855564.88      780.79405      774.95852      1044.17102
     10200    86.1495    55.2843    -303.274       -303.274      632026312.48      780.86395      775.02790      1044.26449
     10202    86.1517    55.2833    -303.245       -303.245      632199560.82      780.93484      775.09826      1044.35930
     10204    86.1539    55.2920    -303.157       -303.157      632368871.54      781.00412      775.16702      1044.45195
     10206    86.1560    55.2910    -303.042       -303.042      632535488.44      781.07230      775.23469      1044.54313
     10208    86.1582    55.2900    -302.916       -302.916      632704809.98      781.14156      775.30343      1044.63574
     10210    86.1603    55.2987    -302.834       -302.834      632878219.52      781.21245      775.37379      1044.73055
     10212    86.1625    55.3075    -302.794       -302.794      633056151.18      781.28515      775.44595      1044.82777
     10214    86.1646    55.3064    -302.673       -302.673      633236668.15      781.35887      775.51912      1044.92636
     10216    86.1667    55.3054    -302.541       -302.541      633414179.35      781.43137      775.59107      1045.02331
     10218    86.1689    55.3044    -302.407       -302.407      633592596.71      781.50421      775.66337      1045.12073
     10220    86.1710    55.3033    -302.270       -302.270      633763226.76      781.57390      775.73254      1045.21393
     10222    86.1732    55.3023    -302.141       -302.141      633933551.52      781.64345      775.80157      1045.30693
     10224    86.1754    55.3013    -302.009       -302.009      634100922.39      781.71179      775.86940      1045.39833
     10226    86.1776    55.3002    -301.818       -301.818      634267801.33      781.77992      775.93702      1045.48944
     10228    86.1798    55.2894    -301.708       -301.708      634431752.56      781.84685      776.00345      1045.57895
     10230    86.1819    55.2786    -301.582       -301.582      634592852.46      781.91262      776.06873      1045.66690
     10232    86.1840    55.2776    -301.389       -301.389      634753447.39      781.97817      776.13379      1045.75456
     10234    86.1862    55.2668    -301.204       -301.204      634911297.10      782.04260      776.19774      1045.84073
     10236    86.1884    55.2657    -300.997       -300.997      635065587.80      782.10558      776.26025      1045.92496
     10238    86.1905    55.2745    -300.835       -300.835      635216313.64      782.16711      776.32132      1046.00724
     10240    86.1927    55.2734    -300.686       -300.686      635364073.55      782.22744      776.38119      1046.08791
     10242    86.1949    55.2724    -300.578       -300.578      635512211.48      782.28790      776.44121      1046.16877
     10244    86.1970    55.2714    -300.494       -300.494      635662137.82      782.34907      776.50192      1046.25058
     10246    86.1991    55.2801    -300.365       -300.365      635808888.83      782.40895      776.56135      1046.33065
     10248    86.2014    55.2791    -300.278       -300.278      635957526.33      782.46957      776.62152      1046.41173
     10250    86.2035    55.2878    -300.122       -300.122      636107679.88      782.53080      776.68229      1046.49360
     10252    86.2057    55.2868    -299.985       -299.985      636251464.40      782.58944      776.74049      1046.57203
     10254    86.2078    55.2955    -299.879       -299.879      636397158.45      782.64884      776.79945      1046.65147
     10256    86.2100    55.2945    -299.788       -299.788      636544527.21      782.70891      776.85907      1046.73179
     10258    86.2121    55.3032    -299.711       -299.711      636699634.61      782.77207      776.92175      1046.81626
     10260    86.2143    55.3119    -299.608       -299.608      636857709.19      782.83640      776.98561      1046.90230
     10262    86.2165    55.3206    -299.529       -299.529      637016762.83      782.90112      777.04984      1046.98884
     10264    86.2186    55.3196    -299.472       -299.472      637175001.31      782.96549      777.11373      1047.07493
     10266    86.2207    55.3283    -299.384       -299.384      637341394.10      783.03312      777.18085      1047.16537
     10268    86.2229    55.3175    -299.311       -299.311      637505303.42      783.09974      777.24697      1047.25445
     10270    86.2251    55.3262    -299.269       -299.269      637669591.81      783.16649      777.31323      1047.34373
     10272    86.2272    55.3349    -299.222       -299.222      637834229.42      783.23337      777.37961      1047.43316
     10274    86.2294    55.3241    -299.118       -299.118      637996463.55      783.29927      777.44502      1047.52130
     10276    86.2315    55.3231    -299.019       -299.019      638154282.41      783.36339      777.50866      1047.60705
     10278    86.2337    55.3318    -298.967       -298.967      638315611.43      783.42890      777.57368      1047.69466
     10280    86.2358    55.3210    -298.939       -298.939      638474635.75      783.49348      777.63777      1047.78102
     10282    86.2380    55.3297    -298.906       -298.906      638635742.41      783.55887      777.70268      1047.86847
     10284    86.2400    55.3287    -298.896       -298.896      638790642.57      783.62177      777.76511      1047.95258
     10286    86.2422    55.3179    -298.899       -298.899      638943376.31      783.68379      777.82666      1048.03552
     10288    86.2443    55.3169    -298.844       -298.844      639093415.53      783.74472      777.88714      1048.11700
     10290    86.2464    55.3061    -298.769       -298.769      639241385.24      783.80481      777.94678      1048.19736
     10292    86.2485    55.3148    -298.681       -298.681      639391595.07      783.86578      778.00729      1048.27890
     10294    86.2506    55.3235    -298.593       -298.593      639541049.70      783.92644      778.06749      1048.36002
     10296    86.2527    55.3225    -298.522       -298.522      639687443.63      783.98586      778.12647      1048.43948
     10298    86.2549    55.3214    -298.447       -298.447      639835964.70      784.04611      778.18628      1048.52006
     10300    86.2570    55.3107    -298.352       -298.352      639982505.50      784.10557      778.24529      1048.59957
     10302    86.2591    55.3096    -298.270       -298.270      640130924.31      784.16576      778.30503      1048.68007
     10304    86.2613    55.3183    -298.210       -298.210      640282993.63      784.22740      778.36620      1048.76250
     10306    86.2634    55.3173    -298.144       -298.144      640437557.42      784.29001      778.42835      1048.84623
     10308    86.2655    55.3066    -298.114       -298.114      640590113.90      784.35182      778.48969      1048.92889
     10310    86.2677    55.2958    -298.014       -298.014      640740701.90      784.41282      778.55024      1049.01047
     10312    86.2698    55.3045    -297.936       -297.936      640892193.55      784.47418      778.61114      1049.09252
     10314    86.2719    55.3035    -297.848       -297.848      641044649.62      784.53590      778.67240      1049.17506
     10316    86.2740    55.3121    -297.789       -297.789      641194632.39      784.59663      778.73268      1049.25628
     10318    86.2762    55.3014    -297.739       -297.739      641342728.59      784.65659      778.79219      1049.33646
     10320    86.2783    55.3101    -297.624       -297.624      641491643.77      784.71687      778.85202      1049.41707
     10322    86.2805    55.3090    -297.561       -297.561      641638401.13      784.77627      778.91098      1049.49652
     10324    86.2826    55.3177    -297.459       -297.459      641787923.79      784.83676      778.97102      1049.57742
     10326    86.2847    55.3070    -297.351       -297.351      641935611.81      784.89651      779.03032      1049.65732
     10328    86.2868    55.2963    -297.231       -297.231      642081498.76      784.95554      779.08890      1049.73625
     10330    86.2890    55.3049    -297.096       -297.096      642232038.74      785.01640      779.14931      1049.81764
     10332    86.2912    55.3039    -296.977       -296.977      642385082.02      785.07824      779.21069      1049.90034
     10334    86.2933    55.3029    -296.915       -296.915      642535569.39      785.13905      779.27104      1049.98167
     10336    86.2954    55.2922    -296.852       -296.852      642684265.25      785.19914      779.33068      1050.06203
     10338    86.2976    55.3008    -296.760       -296.760      642833741.21      785.25953      779.39062      1050.14278
