No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
----------------------------------------------------------------------------------------------------
     10002    85.1479    55.8488    -338.721       -338.721      440746867.44      761.02060      761.02060      761.02060
     10004    85.1503    55.8577    -335.105       -335.105      441024954.14      761.18058      761.18058      761.18058
     10006    85.1526    55.8665    -333.195       -333.195      441203596.53      761.28333      761.28333      761.28333
     10008    85.1550    55.8653    -332.598       -332.598      441395465.43      761.39363      761.39363      761.39363
     10010    85.1573    55.8541    -330.285       -330.285      441510586.77      761.45981      761.45981      761.45981
     10012    85.1596    55.8630    -331.296       -331.296      441721299.31      761.58085      761.58085      761.58085
     10014    85.1620    55.8618    -331.797       -331.797      441914783.85      761.69196      761.69196      761.69196
     10016    85.1643    55.8606    -332.491       -332.491      442051409.97      761.77042      761.77042      761.77042
     10018    85.1666    55.8595    -332.707       -332.707      442156719.98      761.83090      761.83090      761.83090
     10020    85.1689    55.8683    -332.935       -332.935      442244232.56      761.88116      761.88116      761.88116
     10022    85.1712    55.8671    -333.766       -333.766      442355403.57      761.94496      761.94496      761.94496
     10024    85.1735    55.8759    -334.184       -334.184      442510528.63      762.03393      762.03393      762.03393
     10026    85.1758    55.8747    -334.495       -334.495      442652328.82      762.11525      762.11525      762.11525
     10028    85.1781    55.8636    -334.836       -334.836      442773871.84      762.18494      762.18494      762.18494
     10030    85.1804    55.8624    -335.229       -335.229      442913074.90      762.26473      762.26473      762.26473
     10032    85.1827    55.8712    -335.523       -335.523      443071588.16      762.35553      762.35553      762.35553
     10034    85.1851    55.8700    -335.477       -335.477      443231475.68      762.44708      762.44708      762.44708
     10036    85.1874    55.8689    -335.157       -335.157      443389887.83      762.53777      762.53777      762.53777
     10038    85.1897    55.8677    -334.910       -334.910      443540435.38      762.62394      762.62394      762.62394
     10040    85.1921    55.8765    -334.779       -334.779      443698328.05      762.71428      762.71428      762.71428
     10042    85.1944    55.8753    -335.083       -335.083      443845388.70      762.79841      762.79841      762.79841
     10044    85.1967    55.8642    -335.099       -335.099      443979080.20      762.87489      762.87489      762.87489
     10046    85.1990    55.8531    -334.929       -334.929      444101146.35      762.94472      762.94472      762.94472
     10048    85.2013    55.8519    -334.693       -334.693      444224198.82      763.01510      763.01510      763.01510
