No. moves  % accept.       <E_tot>         <E_sr>
--------------------------------------------------------------
     10002    49.6654        -7032.767       -7032.767
     10004    49.6654        -7051.625       -7051.625
     10006    49.6656        -7041.914       -7041.914
     10008    49.6656        -7032.974       -7032.974
     10010    49.6657        -7026.436       -7026.436
     10012    49.6657        -7024.895       -7024.895
     10014    49.6656        -7027.614       -7027.614
     10016    49.6655        -7029.657       -7029.657
     10018    49.6657        -7030.715       -7030.715
     10020    49.6659        -7030.238       -7030.238
     10022    49.6658        -7027.839       -7027.839
     10024    49.6659        -7026.404       -7026.404
     10026    49.6659        -7023.860       -7023.860
     10028    49.6659        -7023.943       -7023.943
     10030    49.6659        -7025.108       -7025.108
     10032    49.6657        -7025.849       -7025.849
     10034    49.6658        -7026.315       -7026.315
     10036    49.6658        -7026.469       -7026.469
     10038    49.6658        -7027.417       -7027.417
     10040    49.6657        -7027.991       -7027.991
     10042    49.6655        -7029.467       -7029.467
     10044    49.6654        -7031.635       -7031.635
     10046    49.6654        -7033.277       -7033.277
     10048    49.6654        -7033.668       -7033.668
     10050    49.6653        -7034.803       -7034.803
     10052    49.6653        -7036.797       -7036.797
     10054    49.6650        -7038.313       -7038.313
     10056    49.6652        -7040.897       -7040.897
     10058    49.6652        -7043.474       -7043.474
     10060    49.6654        -7044.909       -7044.909
     10062    49.6654        -7045.639       -7045.639
     10064    49.6654        -7045.550       -7045.550
     10066    49.6656        -7045.054       -7045.054
     10068    49.6656        -7045.042       -7045.042
     10070    49.6656        -7044.956       -7044.956
     10072    49.6656        -7044.494       -7044.494
     10074    49.6657        -7043.887       -7043.887
     10076    49.6656        -7043.526       -7043.526
     10078    49.6657        -7043.567       -7043.567
     10080    49.6656        -7043.620       -7043.620
     10082    49.6653        -7042.965       -7042.965
     10084    49.6655        -7042.663       -7042.663
     10086    49.6657        -7042.311       -7042.311
     10088    49.6657        -7042.334       -7042.334
     10090    49.6656        -7041.843       -7041.843
     10092    49.6657        -7041.179       -7041.179
     10094    49.6657        -7040.923       -7040.923
     10096    49.6658        -7040.664       -7040.664
     10098    49.6657        -7040.600       -7040.600
     10100    49.6659        -7040.532       -7040.532
     10102    49.6658        -7039.719       -7039.719
     10104    49.6658        -7038.851       -7038.851
     10106    49.6659        -7038.418       -7038.418
     10108    49.6657        -7038.109       -7038.109
     10110    49.6657        -7037.728       -7037.728
     10112    49.6657        -7037.497       -7037.497
     10114    49.6658        -7037.291       -7037.291
     10116    49.6659        -7037.550       -7037.550
     10118    49.6658        -7037.708       -7037.708
     10120    49.6658        -7038.154       -7038.154
