No. moves  % accept.        E_tot           E_sr
--------------------------------------------------------------
      2    24.6528        -8597.916       -8597.916
      4    25.9549        -8519.594       -8519.594
      6    26.9387        -8496.132       -8496.132
      8    27.9894        -8461.354       -8461.354
     10    28.6111        -8385.461       -8385.461
     12    29.1992        -8351.037       -8351.037
     14    29.8875        -8319.959       -8319.959
     16    30.4064        -8291.891       -8291.891
     18    30.9341        -8266.643       -8266.643
     20    31.4171        -8250.533       -8250.533
     22    31.9001        -8235.898       -8235.898
     24    32.3043        -8175.620       -8175.620
     26    32.7365        -8147.113       -8147.113
     28    33.1008        -8111.725       -8111.725
     30    33.4165        -8073.254       -8073.254
     32    33.6948        -8035.948       -8035.948
     34    34.0495        -8000.071       -8000.071
     36    34.3654        -7987.958       -7987.958
     38    34.6760        -7964.501       -7964.501
     40    34.9533        -7902.451       -7902.451
     42    35.1919        -7891.539       -7891.539
     44    35.4532        -7874.376       -7874.376
     46    35.7054        -7838.411       -7838.411
     48    35.9488        -7834.841       -7834.841
     50    36.1532        -7812.561       -7812.561
     52    36.3966        -7794.345       -7794.345
     54    36.6356        -7776.896       -7776.896
     56    36.8315        -7724.844       -7724.844
     58    37.0678        -7688.371       -7688.371
     60    37.2407        -7645.273       -7645.273
     62    37.4496        -7675.469       -7675.469
     64    37.5834        -7651.224       -7651.224
     66    37.7686        -7665.305       -7665.305
     68    37.9350        -7654.821       -7654.821
     70    38.1045        -7634.122       -7634.122
     72    38.2487        -7619.311       -7619.311
     74    38.4074        -7578.607       -7578.607
     76    38.5665        -7610.233       -7610.233
     78    38.7011        -7599.196       -7599.196
     80    38.8325        -7585.523       -7585.523
     82    38.9513        -7565.273       -7565.273
     84    39.0899        -7535.446       -7535.446
     86    39.2094        -7523.230       -7523.230
     88    39.3197        -7529.319       -7529.319
     90    39.4423        -7523.604       -7523.604
     92    39.5553        -7491.396       -7491.396
     94    39.6669        -7472.900       -7472.900
     96    39.8026        -7480.888       -7480.888
     98    39.9144        -7428.090       -7428.090
     100    40.0113        -7436.923       -7436.923
     102    40.1237        -7430.707       -7430.707
     104    40.2158        -7406.073       -7406.073
     106    40.3243        -7403.561       -7403.561
     108    40.4251        -7399.363       -7399.363
     110    40.5356        -7392.838       -7392.838
     112    40.6211        -7353.248       -7353.248
     114    40.7145        -7389.665       -7389.665
     116    40.8046        -7425.068       -7425.068
     118    40.8961        -7401.047       -7401.047
     120    40.9796        -7403.733       -7403.733
     122    41.0621        -7375.546       -7375.546
     124    41.1549        -7351.275       -7351.275
     126    41.2561        -7343.155       -7343.155
     128    41.3445        -7329.857       -7329.857
     130    41.4246        -7351.144       -7351.144
     132    41.5093        -7347.213       -7347.213
     134    41.5909        -7354.945       -7354.945
     136    41.6686        -7353.136       -7353.136
     138    41.7605        -7327.963       -7327.963
     140    41.8392        -7345.512       -7345.512
     142    41.9068        -7308.721       -7308.721
     144    41.9705        -7323.762       -7323.762
     146    42.0276        -7319.712       -7319.712
     148    42.0978        -7301.861       -7301.861
     150    42.1819        -7296.878       -7296.878
     152    42.2480        -7313.297       -7313.297
     154    42.3036        -7278.121       -7278.121
     156    42.3792        -7270.068       -7270.068
     158    42.4504        -7274.166       -7274.166
     160    42.5174        -7286.642       -7286.642
     162    42.5709        -7314.256       -7314.256
     164    42.6289        -7297.435       -7297.435
     166    42.6878        -7291.061       -7291.061
     168    42.7454        -7298.126       -7298.126
     170    42.8042        -7261.031       -7261.031
     172    42.8642        -7298.793       -7298.793
