No. moves  % accept.       <E_tot>         <E_sr>
--------------------------------------------------------------
     10002    49.7328        -7016.983       -7016.983
     10004    49.7329        -7006.442       -7006.442
     10006    49.7330        -7004.909       -7004.909
     10008    49.7332        -7004.031       -7004.031
     10010    49.7332        -7003.757       -7003.757
     10012    49.7333        -7003.466       -7003.466
     10014    49.7334        -7002.924       -7002.924
     10016    49.7334        -7002.901       -7002.901
     10018    49.7334        -7002.619       -7002.619
     10020    49.7332        -7001.182       -7001.182
     10022    49.7333        -6999.267       -6999.267
     10024    49.7333        -6998.035       -6998.035
     10026    49.7334        -6997.072       -6997.072
     10028    49.7334        -6995.579       -6995.579
     10030    49.7334        -6995.082       -6995.082
     10032    49.7334        -6994.640       -6994.640
     10034    49.7335        -6994.306       -6994.306
     10036    49.7336        -6995.170       -6995.170
     10038    49.7337        -6995.307       -6995.307
     10040    49.7335        -6995.512       -6995.512
     10042    49.7335        -6997.431       -6997.431
     10044    49.7334        -6996.214       -6996.214
     10046    49.7335        -6995.762       -6995.762
     10048    49.7336        -6995.094       -6995.094
     10050    49.7338        -6996.432       -6996.432
     10052    49.7339        -6997.888       -6997.888
     10054    49.7339        -7000.050       -7000.050
     10056    49.7338        -7002.899       -7002.899
     10058    49.7338        -7005.591       -7005.591
     10060    49.7340        -7007.019       -7007.019
     10062    49.7338        -7008.868       -7008.868
     10064    49.7337        -7010.222       -7010.222
     10066    49.7337        -7011.185       -7011.185
     10068    49.7335        -7011.956       -7011.956
     10070    49.7335        -7012.762       -7012.762
     10072    49.7338        -7013.889       -7013.889
     10074    49.7336        -7014.533       -7014.533
     10076    49.7338        -7015.200       -7015.200
     10078    49.7339        -7016.132       -7016.132
     10080    49.7338        -7016.453       -7016.453
     10082    49.7339        -7016.507       -7016.507
     10084    49.7340        -7016.392       -7016.392
     10086    49.7341        -7016.373       -7016.373
     10088    49.7341        -7016.167       -7016.167
     10090    49.7340        -7015.864       -7015.864
     10092    49.7342        -7016.153       -7016.153
     10094    49.7342        -7016.292       -7016.292
     10096    49.7341        -7015.749       -7015.749
     10098    49.7340        -7015.393       -7015.393
     10100    49.7340        -7015.645       -7015.645
     10102    49.7340        -7016.039       -7016.039
     10104    49.7337        -7016.643       -7016.643
     10106    49.7336        -7016.599       -7016.599
     10108    49.7334        -7017.241       -7017.241
     10110    49.7335        -7017.963       -7017.963
     10112    49.7335        -7018.117       -7018.117
     10114    49.7334        -7018.066       -7018.066
     10116    49.7335        -7018.150       -7018.150
     10118    49.7334        -7018.327       -7018.327
     10120    49.7336        -7017.884       -7017.884
     10122    49.7336        -7017.441       -7017.441
     10124    49.7335        -7017.075       -7017.075
     10126    49.7337        -7016.910       -7016.910
     10128    49.7337        -7016.635       -7016.635
     10130    49.7337        -7016.569       -7016.569
     10132    49.7338        -7016.306       -7016.306
     10134    49.7339        -7015.963       -7015.963
     10136    49.7341        -7015.793       -7015.793
     10138    49.7341        -7015.610       -7015.610
     10140    49.7341        -7015.413       -7015.413
     10142    49.7343        -7015.392       -7015.392
     10144    49.7343        -7015.243       -7015.243
     10146    49.7344        -7014.648       -7014.648
     10148    49.7342        -7014.500       -7014.500
     10150    49.7340        -7014.251       -7014.251
     10152    49.7342        -7014.050       -7014.050
     10154    49.7339        -7013.889       -7013.889
     10156    49.7339        -7013.962       -7013.962
     10158    49.7340        -7014.468       -7014.468
     10160    49.7340        -7014.648       -7014.648
     10162    49.7341        -7014.653       -7014.653
     10164    49.7341        -7015.101       -7015.101
     10166    49.7342        -7015.596       -7015.596
     10168    49.7342        -7015.967       -7015.967
     10170    49.7343        -7016.138       -7016.138
     10172    49.7342        -7016.523       -7016.523
     10174    49.7342        -7017.063       -7017.063
     10176    49.7343        -7017.546       -7017.546
     10178    49.7343        -7017.758       -7017.758
     10180    49.7343        -7018.028       -7018.028
     10182    49.7342        -7018.189       -7018.189
     10184    49.7342        -7018.420       -7018.420
     10186    49.7342        -7018.687       -7018.687
     10188    49.7342        -7018.844       -7018.844
     10190    49.7343        -7019.046       -7019.046
     10192    49.7343        -7019.411       -7019.411
     10194    49.7344        -7019.918       -7019.918
     10196    49.7344        -7020.391       -7020.391
     10198    49.7344        -7020.225       -7020.225
     10200    49.7343        -7020.292       -7020.292
     10202    49.7345        -7020.393       -7020.393
     10204    49.7347        -7020.411       -7020.411
     10206    49.7346        -7020.537       -7020.537
     10208    49.7349        -7020.770       -7020.770
     10210    49.7348        -7020.989       -7020.989
     10212    49.7346        -7021.129       -7021.129
     10214    49.7346        -7021.218       -7021.218
     10216    49.7347        -7021.274       -7021.274
     10218    49.7347        -7021.350       -7021.350
     10220    49.7346        -7021.595       -7021.595
     10222    49.7347        -7021.907       -7021.907
     10224    49.7348        -7022.268       -7022.268
     10226    49.7346        -7022.813       -7022.813
     10228    49.7346        -7023.117       -7023.117
     10230    49.7344        -7023.139       -7023.139
     10232    49.7345        -7023.140       -7023.140
     10234    49.7344        -7023.104       -7023.104
     10236    49.7345        -7023.215       -7023.215
     10238    49.7345        -7023.116       -7023.116
     10240    49.7344        -7023.149       -7023.149
     10242    49.7345        -7023.173       -7023.173
     10244    49.7344        -7023.184       -7023.184
     10246    49.7343        -7023.280       -7023.280
     10248    49.7345        -7023.129       -7023.129
     10250    49.7345        -7023.150       -7023.150
     10252    49.7345        -7023.073       -7023.073
     10254    49.7346        -7022.749       -7022.749
     10256    49.7348        -7022.665       -7022.665
     10258    49.7350        -7022.433       -7022.433
     10260    49.7352        -7022.335       -7022.335
     10262    49.7352        -7022.269       -7022.269
     10264    49.7353        -7022.188       -7022.188
     10266    49.7353        -7022.071       -7022.071
     10268    49.7353        -7022.253       -7022.253
     10270    49.7352        -7022.176       -7022.176
     10272    49.7352        -7022.111       -7022.111
     10274    49.7353        -7021.926       -7021.926
     10276    49.7352        -7021.894       -7021.894
     10278    49.7353        -7021.729       -7021.729
     10280    49.7354        -7021.582       -7021.582
     10282    49.7355        -7021.605       -7021.605
     10284    49.7355        -7021.647       -7021.647
     10286    49.7356        -7021.524       -7021.524
     10288    49.7356        -7021.398       -7021.398
     10290    49.7358        -7021.171       -7021.171
     10292    49.7359        -7020.946       -7020.946
     10294    49.7359        -7020.878       -7020.878
     10296    49.7358        -7020.835       -7020.835
     10298    49.7356        -7020.452       -7020.452
     10300    49.7355        -7020.152       -7020.152
     10302    49.7353        -7020.049       -7020.049
     10304    49.7353        -7019.782       -7019.782
     10306    49.7353        -7019.640       -7019.640
     10308    49.7352        -7019.420       -7019.420
     10310    49.7352        -7019.270       -7019.270
     10312    49.7355        -7019.259       -7019.259
     10314    49.7354        -7019.258       -7019.258
     10316    49.7353        -7019.208       -7019.208
     10318    49.7354        -7019.133       -7019.133
     10320    49.7355        -7019.278       -7019.278
     10322    49.7356        -7019.430       -7019.430
     10324    49.7356        -7019.435       -7019.435
     10326    49.7355        -7019.418       -7019.418
     10328    49.7354        -7019.496       -7019.496
     10330    49.7353        -7019.549       -7019.549
     10332    49.7353        -7019.721       -7019.721
     10334    49.7353        -7019.704       -7019.704
     10336    49.7352        -7019.891       -7019.891
     10338    49.7351        -7020.020       -7020.020
     10340    49.7352        -7020.171       -7020.171
     10342    49.7351        -7020.277       -7020.277
     10344    49.7351        -7020.452       -7020.452
     10346    49.7351        -7020.468       -7020.468
     10348    49.7352        -7020.590       -7020.590
     10350    49.7352        -7020.692       -7020.692
     10352    49.7351        -7020.800       -7020.800
     10354    49.7352        -7020.888       -7020.888
     10356    49.7350        -7020.979       -7020.979
     10358    49.7350        -7021.040       -7021.040
     10360    49.7348        -7021.044       -7021.044
     10362    49.7349        -7021.120       -7021.120
     10364    49.7348        -7021.314       -7021.314
     10366    49.7348        -7021.509       -7021.509
     10368    49.7348        -7021.726       -7021.726
     10370    49.7348        -7021.909       -7021.909
     10372    49.7348        -7022.054       -7022.054
     10374    49.7349        -7022.200       -7022.200
     10376    49.7349        -7022.314       -7022.314
     10378    49.7347        -7022.407       -7022.407
     10380    49.7348        -7022.548       -7022.548
     10382    49.7349        -7022.635       -7022.635
     10384    49.7349        -7022.621       -7022.621
     10386    49.7350        -7022.639       -7022.639
     10388    49.7349        -7022.696       -7022.696
     10390    49.7347        -7022.775       -7022.775
     10392    49.7346        -7022.854       -7022.854
     10394    49.7344        -7022.831       -7022.831
     10396    49.7346        -7022.817       -7022.817
     10398    49.7346        -7022.900       -7022.900
     10400    49.7345        -7022.773       -7022.773
     10402    49.7345        -7022.636       -7022.636
     10404    49.7345        -7022.523       -7022.523
     10406    49.7344        -7022.565       -7022.565
     10408    49.7344        -7022.586       -7022.586
     10410    49.7343        -7022.481       -7022.481
     10412    49.7340        -7022.464       -7022.464
     10414    49.7340        -7022.502       -7022.502
     10416    49.7342        -7022.627       -7022.627
     10418    49.7342        -7022.768       -7022.768
     10420    49.7342        -7022.769       -7022.769
     10422    49.7341        -7022.720       -7022.720
     10424    49.7342        -7022.620       -7022.620
     10426    49.7342        -7022.725       -7022.725
     10428    49.7341        -7022.832       -7022.832
     10430    49.7341        -7022.912       -7022.912
     10432    49.7342        -7023.004       -7023.004
     10434    49.7342        -7023.062       -7023.062
     10436    49.7343        -7023.052       -7023.052
     10438    49.7342        -7023.015       -7023.015
     10440    49.7342        -7022.945       -7022.945
     10442    49.7341        -7022.965       -7022.965
     10444    49.7343        -7023.093       -7023.093
     10446    49.7344        -7023.235       -7023.235
     10448    49.7345        -7023.403       -7023.403
     10450    49.7346        -7023.463       -7023.463
     10452    49.7347        -7023.426       -7023.426
     10454    49.7350        -7023.567       -7023.567
     10456    49.7348        -7023.615       -7023.615
     10458    49.7348        -7023.743       -7023.743
     10460    49.7346        -7023.855       -7023.855
     10462    49.7346        -7023.928       -7023.928
     10464    49.7346        -7023.965       -7023.965
     10466    49.7346        -7023.953       -7023.953
     10468    49.7346        -7024.009       -7024.009
     10470    49.7347        -7024.058       -7024.058
     10472    49.7344        -7024.087       -7024.087
     10474    49.7344        -7024.186       -7024.186
     10476    49.7344        -7024.348       -7024.348
     10478    49.7342        -7024.466       -7024.466
     10480    49.7341        -7024.477       -7024.477
     10482    49.7340        -7024.556       -7024.556
     10484    49.7339        -7024.691       -7024.691
     10486    49.7336        -7024.757       -7024.757
     10488    49.7335        -7024.880       -7024.880
     10490    49.7334        -7025.088       -7025.088
     10492    49.7335        -7025.109       -7025.109
     10494    49.7335        -7025.103       -7025.103
     10496    49.7334        -7024.991       -7024.991
     10498    49.7332        -7025.041       -7025.041
     10500    49.7333        -7025.049       -7025.049
     10502    49.7332        -7025.207       -7025.207
     10504    49.7331        -7025.388       -7025.388
     10506    49.7331        -7025.479       -7025.479
     10508    49.7329        -7025.567       -7025.567
     10510    49.7328        -7025.637       -7025.637
     10512    49.7325        -7025.669       -7025.669
     10514    49.7324        -7025.718       -7025.718
     10516    49.7323        -7025.768       -7025.768
     10518    49.7324        -7025.876       -7025.876
     10520    49.7322        -7025.913       -7025.913
     10522    49.7322        -7025.912       -7025.912
     10524    49.7320        -7026.069       -7026.069
     10526    49.7319        -7026.198       -7026.198
     10528    49.7317        -7026.258       -7026.258
     10530    49.7318        -7026.327       -7026.327
     10532    49.7319        -7026.343       -7026.343
     10534    49.7319        -7026.392       -7026.392
     10536    49.7318        -7026.457       -7026.457
     10538    49.7319        -7026.517       -7026.517
     10540    49.7318        -7026.548       -7026.548
     10542    49.7319        -7026.530       -7026.530
     10544    49.7320        -7026.447       -7026.447
     10546    49.7319        -7026.502       -7026.502
     10548    49.7319        -7026.597       -7026.597
     10550    49.7318        -7026.703       -7026.703
     10552    49.7319        -7026.830       -7026.830
     10554    49.7319        -7026.899       -7026.899
     10556    49.7318        -7027.038       -7027.038
     10558    49.7319        -7027.355       -7027.355
     10560    49.7318        -7027.632       -7027.632
     10562    49.7318        -7027.735       -7027.735
     10564    49.7317        -7027.755       -7027.755
     10566    49.7317        -7027.857       -7027.857
     10568    49.7316        -7027.876       -7027.876
     10570    49.7315        -7027.887       -7027.887
     10572    49.7313        -7027.889       -7027.889
     10574    49.7311        -7027.945       -7027.945
     10576    49.7309        -7028.008       -7028.008
     10578    49.7307        -7028.005       -7028.005
